p,ford,fI,fII
100501321,3288,393,155
100502089,2562,300,127
100502329,2502,307,110
100502641,2136,253,103
100503649,2484,304,110
100503841,2214,238,131
100504681,2988,336,162
100504849,1800,204,96
100505161,2250,242,133
100506001,2112,258,94
100506169,2334,249,140
100506361,2958,333,160
100506529,2748,317,141
100507129,2142,232,125
100507369,3108,332,186
100507969,2226,246,125
100509529,2898,319,164
100510321,2988,353,145
100511041,2154,247,112
100511329,2814,326,143
100511401,2646,294,147
100511569,1812,225,77
100513009,1998,203,130
100513561,2682,309,138
100514929,2658,320,123
100516081,1950,234,91
100516201,2478,285,128
100516609,2298,261,122
100516921,2502,292,125
100517041,1932,231,91
100517881,2484,294,120
100519129,2586,290,141
100519561,2124,249,105
100520449,2778,310,153
100521121,2016,218,118
100521241,2616,327,109
100521481,2688,322,126
100521649,3276,397,149
100522321,2130,241,114
100525489,1962,214,113
100525609,2862,338,139
100527169,2868,347,131
100527529,1914,241,78
100528801,2736,318,138
100528849,2214,240,129
100529521,2352,275,117
100529881,1800,195,105
100530049,2136,238,118
100530361,2892,323,159
100530481,2670,311,134
100530649,3192,356,176
100532329,2358,287,106
100532881,2226,262,109
100533721,2238,253,120
100534249,2280,289,91
100535521,2394,275,124
100535689,2388,283,115
100536769,3006,334,167
100537249,2832,323,149
100537441,1824,189,115
100538089,2562,308,119
100539961,2586,284,147
100540441,2154,257,102
100540801,1830,207,98
100541449,2340,247,143
100542121,2022,238,99
100542649,1764,192,102
100543489,2118,240,113
100543969,2088,244,104
100544161,1704,184,100
100544809,2166,244,117
100545649,2658,287,156
100546321,2418,276,127
100547521,2526,274,147
100548289,2760,339,121
100548961,2886,337,144
100550689,2976,352,144
100550881,2964,345,149
100552201,2622,300,137
100552321,2118,244,109
100552369,2382,270,127
100552489,3132,368,154
100553041,1776,190,106
100553329,3162,392,135
100553569,2502,277,140
100553881,2928,340,148
100554241,3078,358,155
100554721,2292,278,104
100554841,2322,283,104
100555009,2298,267,116
100555249,2388,289,109
100555921,2868,323,155
100557241,2346,274,117
100557361,2460,255,155
100557409,2592,316,116
100558201,1818,225,78
100561801,2526,288,133
100561969,2226,237,134
100563649,2790,307,158
100563961,2112,240,112
100564081,2946,359,132
100566001,2154,246,113
100566769,2520,293,127
100567321,2478,267,146
100567681,2568,300,128
100567849,2496,291,125
100568161,2220,253,117
100568329,2040,231,109
100568521,1902,233,84
100569121,2922,334,153
100569169,2592,275,157
100569529,2736,299,157
100570201,2316,263,123
100570369,2070,231,114
100570849,2178,244,119
100571041,2412,280,122
100571209,3168,373,155
100572361,2340,277,113
100572481,1890,214,101
100572889,3132,365,157
100574569,3270,371,174
100575889,2892,337,145
100576921,2166,241,120
100577401,2814,346,123
100577569,1602,178,89
100577761,2172,252,110
100579081,1932,213,109
100580209,2694,316,133
100580761,2478,296,117
100581769,2964,377,117
100582441,2598,311,122
100582609,2556,272,154
100583569,2520,296,124
100584409,2406,280,121
100584481,2670,302,143
100585321,3048,355,153
100585801,2418,289,114
100585921,2688,305,143
100589161,1830,198,107
100589449,2196,253,113
100590121,1932,227,95
100590289,3258,362,181
100590361,2244,250,124
100590961,2142,263,94
100591129,1992,224,108
100591201,2472,277,135
100591801,2178,258,105
100591969,3060,367,143
100592881,1902,235,82
100595041,2406,271,130
100595881,2316,256,130
100596169,4050,543,132
100596841,2190,247,118
100596889,2256,269,107
100597681,2520,295,125
100597921,2484,301,113
100599241,2418,275,128
100599409,1872,207,105
100599529,2214,248,121
100599601,3306,370,181
100600081,2520,272,148
100600249,2580,296,134
100600609,3126,351,170
100601041,2736,313,143
100601089,2448,284,124
100601881,2316,256,130
100602121,2340,285,105
100602721,2664,317,127
100602961,3090,376,139
100603441,2112,223,129
100603609,2994,348,151
100603729,2544,295,129
100603801,2346,269,122
100603969,2274,268,111
100605481,2058,237,106
100605961,2052,240,102
100606081,2196,249,117
100607761,2226,275,96
100608169,3078,352,161
100608769,2484,298,116
100608841,2310,269,116
100609489,2430,301,104
100609609,2598,293,140
100609681,2658,337,106
100610329,2856,315,161
100610449,2406,280,121
100610689,3468,388,190
100611961,2346,283,108
100612801,1950,227,98
100613641,3684,447,167
100613881,2640,298,142
100614649,2856,324,152
100616569,2304,250,134
100617241,2238,234,139
100617841,1872,197,115
100618729,2154,241,118
100618849,2334,269,120
100619569,2760,318,142
100619689,2148,237,121
100620241,2514,304,115
100621201,2634,331,108
100621369,2358,284,109
100621921,2052,234,108
100622209,2304,280,104
100622761,2478,288,125
100623049,3108,351,167
100623889,2298,264,119
100624129,1932,240,82
100626649,3066,350,161
100627321,2460,270,140
100627801,2688,329,119
100628089,2418,270,133
100628329,2382,283,114
100628809,2796,334,132
100629169,1854,208,101
100629481,2442,266,141
100629601,2550,285,140
100629769,2688,317,131
100630009,1950,239,86
100630489,2550,287,138
100631161,1908,214,104
100632121,2550,287,138
100633849,2238,250,123
100634641,2502,287,130
100638721,2478,256,157
100638841,2118,251,102
100639249,3678,419,194
100639681,2136,248,108
100639729,2142,229,128
100639849,2424,278,126
100639921,2676,330,116
100640401,2640,312,128
100640689,2610,290,145
100641601,2688,301,147
100642609,2538,290,133
100644601,2358,278,115
100644769,1614,192,77
100645609,1830,213,92
100645969,3762,450,177
100646281,2352,276,116
100646449,2448,264,144
100646569,1800,213,87
100646809,2952,341,151
100648081,2526,304,117
100648129,2304,255,129
100648321,1470,172,73
100650601,2454,294,115
100652161,2262,262,115
100652449,2526,292,129
100653121,3336,366,190
100653961,2064,229,115
100654009,2520,293,127
100654201,2598,322,111
100655689,2418,281,122
100655809,2556,291,135
100655881,2574,295,134
100656481,2424,262,142
100656529,2664,305,139
100657369,2436,299,107
100658881,2478,270,143
100659049,2202,251,116
100659409,3072,380,132
100660249,3252,347,195
100661401,2076,222,124
100662241,1980,227,103
100662409,2448,299,109
100663369,2820,334,136
100663609,3006,334,167
100663921,1896,225,91
100664281,2562,289,138
100665601,1866,215,96
100666609,2598,295,138
100667401,2442,274,133
100667569,2808,327,141
100668121,2508,276,142
100668961,2148,253,105
100669081,2886,350,131
100669969,2016,225,111
100670929,3432,402,170
100672009,2796,317,149
100672489,2238,236,137
100674961,2616,289,147
100675801,2820,339,131
100675969,2112,256,96
100676881,2814,316,153
100677529,2652,303,139
100677649,3138,385,138
100678489,2052,223,119
100679569,2028,232,106
100679881,2322,267,120
100680841,2832,331,141
100681249,2334,267,122
100681681,1956,223,103
100682089,2982,362,135
100682401,2190,255,110
100682521,1764,206,88
100682689,2406,273,128
100682929,2688,300,148
100683361,2052,255,87
100683529,2454,282,127
100684369,2226,258,113
100685041,2094,239,110
100685209,2244,257,117
100686049,2982,353,144
100686889,2526,275,146
100687129,1644,206,68
100687729,2172,239,123
100688449,2346,277,114
100690129,2214,244,125
100690489,2004,235,99
100690921,2190,268,97
100691329,3312,400,152
100691761,2064,240,104
100692481,2550,301,124
100692601,2268,272,106
100692841,2328,274,114
100693009,2340,271,119
100693441,2376,268,128
100693849,2280,268,112
100694449,2346,285,106
100695289,3078,361,152
100695961,2862,346,131
100696009,3426,394,177
100696801,2958,336,157
100697041,2040,258,82
100697209,2544,276,148
100697689,1938,211,112
100698049,1938,230,93
100698649,1800,224,76
100698889,2238,266,107
100699369,2202,225,142
100700329,2496,290,126
100701001,2298,246,137
100701049,1926,226,95
100701241,1890,225,90
100701409,2754,324,135
100702009,2652,308,134
100702561,2544,298,126
100703089,2220,229,141
100703521,2292,259,123
100704361,3132,359,163
100704601,2850,313,162
100705921,2676,305,141
100706041,2688,291,157
100706449,2100,228,122
100707601,2058,206,137
100707769,2748,333,125
100711081,2622,318,119
100711321,2130,244,111
100711489,3090,375,140
100711801,2862,332,145
100712089,1926,229,92
100712329,2916,322,164
100712761,3570,394,201
100712809,2418,274,129
100713841,2604,300,134
100714609,2244,266,108
100717009,2328,274,114
100717369,1776,189,107
100718209,2226,264,107
100718809,3108,386,132
100719529,2286,255,126
100719649,2892,350,132
100719721,2436,294,112
100720369,2424,280,124
100720561,3492,414,168
