p,ford,fI,fII
1000428241,3270,389,156
1000428361,2526,281,140
1000428601,3798,436,197
1000429081,3060,378,132
1000429201,3408,407,161
1000429609,3744,452,172
1000430089,3540,401,189
1000430209,3246,377,164
1000430881,3342,388,169
1000430929,3078,366,147
1000431889,4524,523,231
1000432129,3708,426,192
1000432561,4272,533,179
1000433281,2592,288,144
1000434961,3378,412,151
1000437649,3666,431,180
1000438009,3894,472,177
1000438489,3480,404,176
1000438609,3432,378,194
1000438849,3726,445,176
1000439449,2868,334,144
1000439521,4422,510,227
1000439689,4134,489,200
1000440841,3294,363,186
1000441009,3798,433,200
1000442689,2910,333,152
1000443049,3252,374,168
1000443649,4572,542,220
1000446001,2574,314,115
1000446169,3630,408,197
1000446409,3552,410,182
1000446721,3126,346,175
1000447681,3288,393,155
1000448569,5550,619,306
1000449361,3708,450,168
1000449409,3030,360,145
1000450369,3618,451,152
1000451281,3666,431,180
1000451449,4020,463,207
1000452769,3318,393,160
1000453561,3486,419,162
1000454281,4002,484,183
1000454569,3258,369,174
1000455121,3792,417,215
1000455409,4308,531,187
1000455481,3282,371,176
1000456081,3222,373,164
1000456489,5004,583,251
1000456969,3924,478,176
1000457641,3420,411,159
1000457929,4452,510,232
1000458601,3348,403,155
1000458841,4068,492,186
1000460161,4038,483,190
1000460689,4080,469,211
1000461361,3528,426,162
1000461961,3870,409,236
1000462009,2784,335,129
1000462201,4266,513,198
1000462849,2898,351,132
1000463521,3606,447,154
1000463809,3684,420,194
1000465561,3444,399,175
1000466209,3408,407,161
1000467049,3384,382,182
1000467889,4260,499,211
1000468081,4794,555,244
1000468849,3798,455,178
1000470769,3120,350,170
1000471081,3576,398,198
1000471921,3384,386,178
1000472089,3954,453,206
1000472449,2994,342,157
1000472761,3372,389,173
1000473049,4578,586,177
1000473289,3708,429,189
1000473601,3324,406,148
1000473889,4158,456,237
1000473961,4152,478,214
1000474609,3672,428,184
1000474729,4362,530,197
1000474801,3420,389,181
1000476289,3630,420,185
1000476649,3300,376,174
1000477321,3762,440,187
1000479169,4224,498,206
1000480009,3354,382,177
1000480489,3660,418,192
1000480609,3780,450,180
1000480849,4230,486,219
1000481281,4050,489,186
1000481329,2916,325,161
1000482121,3276,369,177
1000482169,3384,403,161
1000483009,3264,377,167
1000483849,3552,430,162
1000484041,4038,481,192
1000485481,3696,416,200
1000487041,2952,360,132
1000487209,4200,512,188
1000487329,4572,539,223
1000487401,4050,494,181
1000488169,3480,384,196
1000488241,3156,349,177
1000488409,4782,512,285
1000489249,3498,407,176
1000489681,4134,511,178
1000489921,3744,433,191
1000490929,2886,319,162
1000491529,4056,468,208
1000492081,3474,394,185
1000492369,3948,453,205
1000494769,4254,456,253
1000495609,3510,435,150
1000497241,3078,361,152
1000497961,3246,372,169
1000498129,3558,402,191
1000498249,3816,453,183
1000499329,3666,438,173
1000499761,3528,402,186
1000499809,3498,416,167
1000500601,3186,354,177
1000501441,3492,403,179
1000501849,3228,372,166
1000503001,3486,420,161
1000504801,3288,381,167
1000505041,3636,431,175
1000505689,4458,534,209
1000505881,3834,459,180
1000506361,4368,492,236
1000506649,4212,484,218
1000506721,3894,420,229
1000508161,3120,371,149
1000509001,4716,594,192
1000509409,2988,358,140
1000510681,2592,291,141
1000510729,3438,392,181
1000511089,4104,463,221
1000512529,3402,378,189
1000513249,3558,402,191
1000513441,3498,399,184
1000514041,4122,491,196
1000514089,3060,355,155
1000515289,4176,487,209
1000515721,3684,421,193
1000516969,3462,389,188
1000517569,3738,429,194
1000517809,4044,485,189
1000518481,3510,405,180
1000519489,4416,531,205
1000523449,3318,382,171
1000524169,3342,380,177
1000524529,3468,396,182
1000524841,3534,418,171
1000524961,3558,424,169
1000526689,4374,510,219
1000528369,3318,387,166
1000528561,3654,424,185
1000529041,3192,369,163
1000529161,2832,341,131
1000529209,3366,372,189
1000529329,3714,465,154
1000529401,3288,382,166
1000530049,3852,431,211
1000531249,3156,381,145
1000531561,3450,413,162
1000531921,3792,440,192
1000533601,3678,441,172
1000533769,4032,478,194
1000535281,3558,435,158
1000535449,3738,428,195
1000535929,4758,555,238
1000536289,3750,434,191
1000536601,3054,354,155
1000537129,3318,378,175
1000537561,3894,453,196
1000538449,3180,338,192
1000538641,3180,373,157
1000538809,3144,346,178
1000539289,3606,431,170
1000539409,3276,378,168
1000539481,3966,466,195
1000541761,3642,473,134
1000543009,4290,505,210
1000543441,4002,471,196
1000544329,3012,344,158
1000544449,3420,399,171
1000544521,2808,345,123
1000545001,3708,446,172
1000545361,3792,429,203
1000545841,3066,352,159
1000545961,3636,402,204
1000546801,2952,334,158
1000547209,4506,551,200
1000547881,3948,486,172
1000549729,3576,417,179
1000551049,3192,382,150
1000551169,4014,458,211
1000551889,3198,394,139
1000553569,3528,407,181
1000553689,3582,420,177
1000554361,2880,331,149
1000554409,4308,511,207
1000555201,3480,421,159
1000555441,3678,411,202
1000556449,4218,498,205
1000558441,3144,354,170
1000558969,3348,371,187
1000559401,4032,472,200
1000560241,3174,362,167
1000560289,3210,358,177
1000560481,4356,498,228
1000562929,3324,386,168
1000565689,4032,462,210
1000566001,3756,438,188
1000566121,4236,459,247
1000566289,4992,609,223
1000566529,3708,429,189
1000567369,3456,419,157
1000568521,3756,434,192
1000568809,3768,426,202
1000569481,4218,493,210
1000571401,3216,344,192
1000572721,3792,445,187
1000573009,4704,570,214
1000573681,4344,506,218
1000574089,4182,485,212
1000574761,3732,424,198
1000575361,3744,441,183
1000575529,3630,440,165
1000576249,3600,411,189
1000578121,2262,264,113
1000578961,3270,367,178
1000579609,2946,336,155
1000579969,3588,410,188
1000580281,3720,409,211
1000581409,4086,476,205
1000581961,3204,369,165
1000582129,3624,415,189
1000584001,3366,406,155
1000585441,3576,423,173
1000585681,3024,337,167
1000585849,4140,476,214
1000586689,3414,385,184
1000587361,3516,398,188
1000587529,3234,382,157
1000589881,3786,445,186
1000590361,3024,348,156
1000590649,3462,379,198
1000592209,3426,401,170
1000592401,4050,462,213
1000594009,3318,391,162
1000594249,3522,391,196
1000594681,4038,468,205
1000594729,3456,401,175
1000595521,3078,341,172
1000596241,3390,410,155
1000596409,3660,435,175
1000596529,3900,437,213
1000597369,4170,484,211
1000597921,3660,433,177
1000598041,3174,360,169
1000599049,4584,579,185
1000599961,3834,425,214
1000600801,4326,495,226
1000600969,3510,411,174
1000602409,3636,421,185
1000602961,3942,460,197
1000603081,3450,395,180
1000603489,4500,509,241
1000604089,3546,425,166
1000604161,3960,474,186
1000604641,2664,301,143
1000604929,3336,365,191
1000607281,3654,423,186
1000607689,2946,363,128
1000608289,3600,437,163
1000608361,3786,449,182
1000608529,5478,637,276
1000608841,3924,513,141
1000609009,3432,382,190
1000609801,3870,438,207
1000610041,4230,517,188
1000610209,2748,321,137
1000610641,3654,419,190
1000611049,3276,379,167
1000612369,3642,422,185
1000612729,3882,458,189
1000613329,4164,535,159
1000614721,3498,408,175
1000615921,5076,591,255
1000617601,2850,328,147
1000618609,3660,408,202
1000618921,3894,448,201
1000619929,4002,480,187
1000620889,3342,402,155
1000621561,2940,313,177
1000621729,3846,451,190
1000621801,2892,352,130
1000622401,2634,309,130
1000622569,3450,414,161
1000623289,3240,377,163
1000623649,3354,406,153
1000626481,3798,432,201
1000627009,4848,580,228
1000628281,3732,441,181
1000629529,2850,338,137
1000629841,2958,342,151
1000630009,3342,387,170
1000630201,4032,456,216
1000630681,3174,382,147
1000631641,2694,297,152
1000632049,3486,416,165
1000632481,3582,419,178
1000635049,3534,422,167
1000636249,5796,701,265
1000636849,3534,425,164
1000637089,3084,356,158
1000637569,3330,384,171
1000637761,3462,397,180
1000639249,3336,392,164
1000640089,3924,460,194
1000640449,3822,429,208
1000641721,3486,414,167
1000641769,3774,431,198
1000642441,3900,467,183
1000642801,2736,301,155
1000643641,4278,490,223
1000644121,2652,293,149
1000644409,4734,553,236
1000645081,3852,477,165
1000645801,3210,381,154
1000645969,3834,445,194
1000646161,3738,441,182
1000646929,3456,419,157
1000647169,4470,511,234
1000648489,2730,319,136
1000649329,2958,321,172
1000649449,3336,393,163
1000650289,3540,405,185
1000650529,4074,485,194
1000650841,3978,489,174
1000651129,2904,334,150
1000651681,3462,412,165
1000651849,4374,509,220
1000651969,3366,385,176
1000652209,4170,504,191
1000652641,3012,350,152
1000653361,3840,453,187
1000654321,3882,434,213
1000655329,3570,401,194
1000656001,3570,427,168
1000656841,3780,434,196
1000657081,3486,420,161
1000657729,4488,559,189
1000657921,3768,457,171
1000658089,3558,433,160
1000658569,3228,365,173
1000658689,3420,386,184
1000658761,3918,454,199
1000659241,3336,381,175
1000660369,3522,434,153
1000661209,4338,509,214
1000664281,3198,373,160
1000664809,3990,466,199
1000665121,2784,319,145
1000665241,3138,372,151
1000665649,3414,402,167
1000667089,3684,439,175
1000668769,3162,360,167
1000669489,3264,343,201
1000669609,4050,454,221
1000672009,3576,415,181
1000672369,3930,452,203
1000672681,4374,489,240
1000672801,4074,486,193
1000673041,2892,324,158
1000673809,4434,509,230
1000674481,3000,319,181
1000675201,3066,366,145
1000676329,3264,379,165
1000679569,3702,430,187
