p,ford,fI,fII
100069153,3546,424,167
100069273,3450,410,165
100069441,2766,327,134
100069513,2724,318,136
100069657,3144,399,125
100069681,3780,449,181
100069873,3048,360,148
100069897,3204,360,174
100069969,2538,281,142
100069993,3180,388,142
100070137,3690,446,169
100070209,2562,292,135
100070521,2988,368,130
100070713,3558,439,154
100070833,4164,525,169
100070881,2100,228,122
100071121,2760,297,163
100071217,2670,307,138
100071241,2814,316,153
100071289,2976,349,147
100071337,2568,325,103
100071409,2202,226,141
100071481,3192,356,176
100072129,2436,298,108
100072177,3480,408,172
100072393,3024,365,139
100072849,2808,326,142
100073041,2610,306,129
100073089,3246,359,182
100073137,4026,466,205
100073473,3138,371,152
100073689,2040,240,100
100073761,3168,383,145
100073929,2964,351,143
100074097,3648,431,177
100074241,2004,225,109
100074433,3306,399,152
100074649,3180,334,196
100074673,2754,337,122
100075057,3042,381,126
100075537,2772,323,139
100075561,2772,319,143
100075609,2862,344,133
100075777,3294,382,167
100075993,3300,394,156
100076089,2250,256,119
100076233,2964,370,124
100076257,2508,305,113
100076329,2646,306,135
100076617,3210,381,154
100076689,2898,319,164
100077049,2646,328,113
100077073,3756,447,179
100077097,4182,494,203
100077337,3864,464,180
100077673,3084,366,148
100077721,2100,240,110
100077841,2796,332,134
100077961,1866,208,103
100078249,3096,375,141
100078273,2664,299,145
100078441,2154,268,91
100078513,4188,547,151
100078753,3114,355,164
100078801,1926,221,100
100078873,4398,490,243
100078897,2922,320,167
100079449,2682,302,145
100079713,3300,404,146
100079737,3540,437,153
100079761,2610,289,146
100079929,2958,336,157
100080217,3078,333,180
100080289,2706,326,125
100080361,3012,355,147
100080433,2790,333,132
100080529,2940,331,159
100081129,2280,260,120
100081153,2718,330,123
100081561,2886,336,145
100082041,2448,270,138
100082233,3468,426,152
100082401,2526,290,131
100082569,3432,433,139
100082833,3948,484,174
100082929,3114,354,165
100083433,3144,380,144
100083481,2862,322,155
100083673,3252,408,134
100083721,2484,299,115
100083937,3372,392,170
100084129,3024,347,157
100084273,2322,289,98
100084441,2310,276,109
100084489,2892,338,144
100084513,2838,345,128
100084681,3048,335,173
100084849,2670,300,145
100084921,2694,307,142
100084993,3576,443,153
100085233,3300,412,138
100085257,3144,358,166
100085281,2136,250,106
100085353,2742,336,121
100085809,3276,389,157
100086001,1608,185,83
100086097,2892,337,145
100086121,2214,231,138
100086169,2772,346,116
100086193,2910,321,164
100086457,3438,415,158
100086673,2916,333,153
100086697,2952,330,162
100086841,2778,321,142
100087081,2850,339,136
100087201,2562,288,139
100087321,3066,349,162
100087369,2916,340,146
100087417,3144,350,174
100087441,2496,287,129
100087489,3216,401,135
100087633,4344,553,171
100087681,2088,251,97
100087969,2292,273,109
100088041,2820,317,153
100088161,2790,294,171
100088377,4662,537,240
100088641,1776,199,97
100088929,2964,383,111
100089433,5136,543,313
100089673,3204,382,152
100089697,3528,425,163
100089841,3072,366,146
100089961,2742,307,150
100090153,2928,353,135
100090297,3084,365,149
100090321,2496,296,120
100090657,3114,390,129
100090729,2922,335,152
100090801,3474,405,174
100091137,3414,406,163
100091353,4542,529,228
100091473,2784,322,142
100091569,2718,311,142
100091689,2988,334,164
100091809,2760,308,152
100091857,3882,456,191
100091881,2574,307,122
100092049,2514,309,110
100092121,2874,339,140
100092169,2508,300,118
100092217,3396,421,145
100092241,2982,352,145
100092409,2508,279,139
100092697,3366,391,170
100092721,1992,211,121
100093249,2370,267,128
100093417,3720,464,156
100093561,2202,250,117
100093657,3774,457,172
100093681,2124,239,115
100093849,2136,252,104
100094017,2946,366,125
100094041,2682,311,136
100094089,2958,344,149
100094353,3552,437,155
100094377,4272,515,197
100094833,2646,332,109
100094881,3282,399,148
100095049,2748,306,152
100095361,2178,262,101
100095409,2514,307,112
